Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,ontology,gene_count,neglogpadj,color,cluster
GO_Molecular_Function_2021,monocarboxylic acid binding (GO:0033293),8/31,5.6531919914820955e-11,5.7379898713543275e-09,0,0,48.56582976117575,1145.969793871385,UGT1A1;AKR1C1;AKR1C2;UGT2B4;AKR1C4;UGT1A9;UGT2B7;UGT1A6,MF,8,8.241240222701872,#fd8d3c,2
GO_Molecular_Function_2021,glucuronosyltransferase activity (GO:0015020),8/31,5.6531919914820955e-11,5.7379898713543275e-09,0,0,48.56582976117575,1145.969793871385,UGT2B10;UGT1A1;UGT2B28;UGT2B4;UGT2A1;UGT1A9;UGT2B7;UGT1A6,MF,8,8.241240222701872,#fd8d3c,2
GO_Biological_Process_2021,cholesterol homeostasis (GO:0042632),11/71,5.073794669336008e-12,2.9217398830274142e-09,0,0,26.10191846522782,678.8308217997331,ABCG8;ABCG5;APOM;AKR1C1;APOC2;MTTP;APOA2;ANGPTL3;APOA1;TSKU;CES1,BP,11,8.534358451096564,#2171b5,2
GO_Biological_Process_2021,sterol homeostasis (GO:0055092),11/72,5.9505903931311885e-12,2.9217398830274142e-09,0,0,25.672720839721663,663.576439429723,ABCG8;ABCG5;APOM;AKR1C1;APOC2;MTTP;APOA2;ANGPTL3;APOA1;TSKU;CES1,BP,11,8.534358451096564,#2171b5,2
GO_Molecular_Function_2021,coreceptor activity involved in Wnt signaling pathway (GO:0071936),2/8,0.0015188640882368,0.0402498983382774,0,0,44.693693693693696,290.05279964440666,PTK7;GPC4,MF,2,1.395235212219862,#fd8d3c,3
GO_Molecular_Function_2021,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway (GO:1904929)",2/6,0.0008217415222286749,0.0377992428317788,0,0,67.04729729729729,476.3096763717786,PTK7;GPC4,MF,2,1.4225168995615525,#fd8d3c,3
GO_Molecular_Function_2021,transmembrane receptor protein kinase activity (GO:0019199),4/60,0.0010697898914654,0.0377992428317788,0,0,9.683953033268102,66.24107627077846,EPHA10;TYRO3;FGFR2;EPHB3,MF,4,1.4225168995615525,#fd8d3c,3
GO_Molecular_Function_2021,potassium channel activity (GO:0005267),5/91,0.0006147474872814153,0.0377992428317788,0,0,7.924619085805935,58.59700269832303,KCNG1;KCNH2;KCNH3;KCNF1;KCNS3,MF,5,1.4225168995615525,#fd8d3c,3
GO_Molecular_Function_2021,transmembrane receptor protein tyrosine kinase activity (GO:0004714),4/60,0.0010697898914654,0.0377992428317788,0,0,9.683953033268102,66.24107627077846,EPHA10;TYRO3;FGFR2;EPHB3,MF,4,1.4225168995615525,#fd8d3c,3
GO_Molecular_Function_2021,voltage-gated potassium channel activity (GO:0005249),5/82,0.000380671850707929,0.0377992428317788,0,0,8.854903716972682,69.71972939071811,KCNG1;KCNH2;KCNH3;KCNF1;KCNS3,MF,5,1.4225168995615525,#fd8d3c,3
GO_Biological_Process_2021,regulation of neuron projection development (GO:0010975),7/165,0.00025086531356310134,0.0340818447426441,0,0,6.100911746481367,50.580184529680366,BRSK2;PTPRS;PTK7;TRPV4;PLXNB3;CRMP1;EPHB3,BP,7,1.4674769062800939,#2171b5,3
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662),9/274,0.0002301617437718056,0.0340818447426441,0,0,4.717382577278202,39.51623195965683,KCNG1;KCNH2;KCNH3;KCNF1;TRPV4;KCNS3;SLC4A11;SLC6A11;CACNA1H,BP,9,1.4674769062800939,#2171b5,3
GO_Biological_Process_2021,positive regulation of sodium ion transmembrane transporter activity (GO:2000651),3/14,0.00014165489659109397,0.026942761331626,0,0,36.80705009276438,326.1883756621657,TESC;FXYD2;WNK2,BP,3,1.5695578960060588,#2171b5,3
GO_Molecular_Function_2021,voltage-gated cation channel activity (GO:0022843),6/97,9.074298522102747e-05,0.0192375128668578,0,0,9.047161172161172,84.20626610851481,KCNG1;KCNH2;KCNH3;KCNF1;GRIN2A;KCNS3,MF,6,1.7158510766859503,#fd8d3c,3
